"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Author Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Terra M.; Baklola M.; Ali S.; El-Bastawisy K.","Terra, Mohamed (58022815300); Baklola, Mohamed (57960795300); Ali, Shaimaa (58369499700); El-Bastawisy, Karim (58368129400)","58022815300; 57960795300; 58369499700; 58368129400","Opportunities, applications, challenges and ethical implications of artificial intelligence in psychiatry: a narrative review","2023","Egyptian Journal of Neurology, Psychiatry and Neurosurgery","59","1","80","","","","0","10.1186/s41983-023-00681-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163166235&doi=10.1186%2fs41983-023-00681-z&partnerID=40&md5=4d963b5d54b91d613cbdd926effd1898","Faculty of Medicine, Mansoura University, 60El-Gomhoria Street, Mansoura, 35516, Egypt","Terra M., Faculty of Medicine, Mansoura University, 60El-Gomhoria Street, Mansoura, 35516, Egypt; Baklola M., Faculty of Medicine, Mansoura University, 60El-Gomhoria Street, Mansoura, 35516, Egypt; Ali S., Faculty of Medicine, Mansoura University, 60El-Gomhoria Street, Mansoura, 35516, Egypt; El-Bastawisy K., Faculty of Medicine, Mansoura University, 60El-Gomhoria Street, Mansoura, 35516, Egypt","Artificial intelligence; Deep learning; Mental illness; Psychiatry","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85163166235"
"Wu Y.; Min H.; Li M.; Shi Y.; Ma A.; Han Y.; Gan Y.; Guo X.; Sun X.","Wu, Yibo (57224939833); Min, Hewei (57744563500); Li, Mingzi (36084946600); Shi, Yuhui (55454346900); Ma, Aijuan (58481994400); Han, Yumei (58481198500); Gan, Yadi (57210596423); Guo, Xiaohui (57209289848); Sun, Xinying (14421626700)","57224939833; 57744563500; 36084946600; 55454346900; 58481994400; 58481198500; 57210596423; 57209289848; 14421626700","Effect of Artificial Intelligence-based Health Education Accurately Linking System (AI-HEALS) for Type 2 diabetes self-management: protocol for a mixed-methods study","2023","BMC public health","23","1","","1325","","","0","10.1186/s12889-023-16066-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164426753&doi=10.1186%2fs12889-023-16066-z&partnerID=40&md5=06d1c92a3499126b576f54c96cf27427","Department of Social Medicine and Health Education, School of Public Health, Peking University, Beijing, China; School of Nursing, Peking University, Beijing, China; Beijing Center for Disease Control and Prevention, Beijing, China; Beijing Medical Examination Center, Beijing, China; Daxing District Center for Disease Control and Prevention of Beijing, Beijing, China; Peking University First Hospital, Beijing, China","Wu Y., Department of Social Medicine and Health Education, School of Public Health, Peking University, Beijing, China; Min H., Department of Social Medicine and Health Education, School of Public Health, Peking University, Beijing, China; Li M., School of Nursing, Peking University, Beijing, China; Shi Y., Department of Social Medicine and Health Education, School of Public Health, Peking University, Beijing, China; Ma A., Beijing Center for Disease Control and Prevention, Beijing, China; Han Y., Beijing Medical Examination Center, Beijing, China; Gan Y., Daxing District Center for Disease Control and Prevention of Beijing, Beijing, China; Guo X., Peking University First Hospital, Beijing, China; Sun X., Department of Social Medicine and Health Education, School of Public Health, Peking University, Beijing, China","Artificial intelligence; Intelligent question and answering; Mixed-methods study; Mobile health; Type 2 diabetes","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85164426753"
"Albahri A.S.; Duhaim A.M.; Fadhel M.A.; Alnoor A.; Baqer N.S.; Alzubaidi L.; Albahri O.S.; Alamoodi A.H.; Bai J.; Salhi A.; Santamaría J.; Ouyang C.; Gupta A.; Gu Y.; Deveci M.","Albahri, A.S. (57201009814); Duhaim, Ali M. (58165003600); Fadhel, Mohammed A. (57192639808); Alnoor, Alhamzah (57204894353); Baqer, Noor S. (57934798200); Alzubaidi, Laith (57195380379); Albahri, O.S. (57201013684); Alamoodi, A.H. (57205435311); Bai, Jinshuai (57217198195); Salhi, Asma (57196190467); Santamaría, Jose (56211885400); Ouyang, Chun (14008574600); Gupta, Ashish (57198676774); Gu, Yuantong (7403046386); Deveci, Muhammet (55734383000)","57201009814; 58165003600; 57192639808; 57204894353; 57934798200; 57195380379; 57201013684; 57205435311; 57217198195; 57196190467; 56211885400; 14008574600; 57198676774; 7403046386; 55734383000","A systematic review of trustworthy and explainable artificial intelligence in healthcare: Assessment of quality, bias risk, and data fusion","2023","Information Fusion","96","","","156","191","35","6","10.1016/j.inffus.2023.03.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151265419&doi=10.1016%2fj.inffus.2023.03.008&partnerID=40&md5=ed8929df202fd77c56bb836cbd97bccd","Iraqi Commission for Computers and Informatics (ICCI), Baghdad, Iraq; Ministry of Education, ThiQar, Iraq; College of Computer, Science and Information Technology, University of Sumer, Thi Qar, Iraq; Southern Technical University, Basrah, Iraq; Ministry of Education, Baghdad, Iraq; School of Mechanical, Medical, Process Engineering, Queensland University of Technology, Brisbane, 4000, QLD, Australia; ARC Industrial Transformation Training Centre – Joint Biomechanics, Queensland University of Technology, Brisbane, 4000, QLD, Australia; Computer Techniques Engineering Department, Mazaya University College, Nasiriyah, Iraq; Department of Computer Science and Information Technology, La Trobe University, Melbourne, VIC, Australia; Faculty of Computing and Meta-Technology (FKMT), Universiti Pendidikan Sultan Idris (UPSI), Perak, Malaysia; Akunah Company for Medical Technology, Brisbane, 4120, QLD, Australia; Department of Computer Science, University of Jaén, Jaén, 23071, Spain; School of Psychology and Counselling, Queensland University of Technology, Brisbane, 4000, QLD, Australia; The Bartlett School of Sustainable Construction, University College London, 1-19 Torrington Place, London, WC1E 7HB, United Kingdom; Department of Industrial Engineering, Turkish Naval Academy, National Defence University, Istanbul, Tuzla, 34940, Turkey","Albahri A.S., Iraqi Commission for Computers and Informatics (ICCI), Baghdad, Iraq; Duhaim A.M., Ministry of Education, ThiQar, Iraq; Fadhel M.A., College of Computer, Science and Information Technology, University of Sumer, Thi Qar, Iraq; Alnoor A., Southern Technical University, Basrah, Iraq; Baqer N.S., Ministry of Education, Baghdad, Iraq; Alzubaidi L., School of Mechanical, Medical, Process Engineering, Queensland University of Technology, Brisbane, 4000, QLD, Australia, ARC Industrial Transformation Training Centre – Joint Biomechanics, Queensland University of Technology, Brisbane, 4000, QLD, Australia; Albahri O.S., Computer Techniques Engineering Department, Mazaya University College, Nasiriyah, Iraq, Department of Computer Science and Information Technology, La Trobe University, Melbourne, VIC, Australia; Alamoodi A.H., Faculty of Computing and Meta-Technology (FKMT), Universiti Pendidikan Sultan Idris (UPSI), Perak, Malaysia; Bai J., School of Mechanical, Medical, Process Engineering, Queensland University of Technology, Brisbane, 4000, QLD, Australia, ARC Industrial Transformation Training Centre – Joint Biomechanics, Queensland University of Technology, Brisbane, 4000, QLD, Australia; Salhi A., Akunah Company for Medical Technology, Brisbane, 4120, QLD, Australia; Santamaría J., Department of Computer Science, University of Jaén, Jaén, 23071, Spain; Ouyang C., School of Psychology and Counselling, Queensland University of Technology, Brisbane, 4000, QLD, Australia; Gupta A., School of Mechanical, Medical, Process Engineering, Queensland University of Technology, Brisbane, 4000, QLD, Australia, ARC Industrial Transformation Training Centre – Joint Biomechanics, Queensland University of Technology, Brisbane, 4000, QLD, Australia; Gu Y., School of Mechanical, Medical, Process Engineering, Queensland University of Technology, Brisbane, 4000, QLD, Australia, ARC Industrial Transformation Training Centre – Joint Biomechanics, Queensland University of Technology, Brisbane, 4000, QLD, Australia; Deveci M., The Bartlett School of Sustainable Construction, University College London, 1-19 Torrington Place, London, WC1E 7HB, United Kingdom, Department of Industrial Engineering, Turkish Naval Academy, National Defence University, Istanbul, Tuzla, 34940, Turkey","Artificial intelligence; Explainability; Healthcare; Information fusion; Trustworthiness","Article","Final","","Scopus","2-s2.0-85151265419"
"McKay F.; Williams B.J.; Prestwich G.; Bansal D.; Treanor D.; Hallowell N.","McKay, Francis (57211284563); Williams, Bethany J. (55969218000); Prestwich, Graham (57457934800); Bansal, Daljeet (57457482700); Treanor, Darren (22941996300); Hallowell, Nina (57204303749)","57211284563; 55969218000; 57457934800; 57457482700; 22941996300; 57204303749","Artificial intelligence and medical research databases: ethical review by data access committees","2023","BMC Medical Ethics","24","1","49","","","","0","10.1186/s12910-023-00927-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164254290&doi=10.1186%2fs12910-023-00927-8&partnerID=40&md5=f86764e42598094e68fd80b4578de8dc","Population Health Sciences Institute, University of Newcastle, Newcastle Upon Tyne, NE2 4AX, United Kingdom; National Pathology Imaging Co-operative, Leeds Teaching Hospitals NHS Trust, Leeds, LS9 7TF, United Kingdom; Yorkshire and Humber Academic Health Science Network, Unit 1, Calder Close, Calder Park, Wakefield, WF4 3BA, United Kingdom; Department of Pathology, University of Leeds, Leeds, United Kingdom; Department of Clinical Pathology, Linköping University, Linköping, Sweden; Center for Medical Image Science and Visualization (CMIV), Linköping University, Linköping, Sweden; The Ethox Centre and the Wellcome Centre for Ethics and Humanities, Nuffield Department of Population Health, University of Oxford, Oxford, OX3 7LF, United Kingdom","McKay F., Population Health Sciences Institute, University of Newcastle, Newcastle Upon Tyne, NE2 4AX, United Kingdom; Williams B.J., National Pathology Imaging Co-operative, Leeds Teaching Hospitals NHS Trust, Leeds, LS9 7TF, United Kingdom; Prestwich G., Yorkshire and Humber Academic Health Science Network, Unit 1, Calder Close, Calder Park, Wakefield, WF4 3BA, United Kingdom; Bansal D., National Pathology Imaging Co-operative, Leeds Teaching Hospitals NHS Trust, Leeds, LS9 7TF, United Kingdom; Treanor D., National Pathology Imaging Co-operative, Leeds Teaching Hospitals NHS Trust, Leeds, LS9 7TF, United Kingdom, Department of Pathology, University of Leeds, Leeds, United Kingdom, Department of Clinical Pathology, Linköping University, Linköping, Sweden, Center for Medical Image Science and Visualization (CMIV), Linköping University, Linköping, Sweden; Hallowell N., The Ethox Centre and the Wellcome Centre for Ethics and Humanities, Nuffield Department of Population Health, University of Oxford, Oxford, OX3 7LF, United Kingdom","Artificial intelligence; Data access committees; Ethical expertise; Ethical review; Health data repositories; Medical research databases; Public involvement; Research ethics committees","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85164254290"
"Ott T.; Heckel M.; Öhl N.; Steigleder T.; Albrecht N.C.; Ostgathe C.; Dabrock P.","Ott, Tabea (57887370400); Heckel, Maria (40361106100); Öhl, Natalie (58203102700); Steigleder, Tobias (16686715900); Albrecht, Nils C. (57768752300); Ostgathe, Christoph (6602231667); Dabrock, Peter (22955337200)","57887370400; 40361106100; 58203102700; 16686715900; 57768752300; 6602231667; 22955337200","Palliative care and new technologies. The use of smart sensor technologies and its impact on the Total Care principle","2023","BMC Palliative Care","22","1","50","","","","0","10.1186/s12904-023-01174-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153905067&doi=10.1186%2fs12904-023-01174-9&partnerID=40&md5=c0d7f147c149b1cd97bd67bfa0148f2c","Chair of Systematic Theology II (Ethics), Faculty of Humanities, Social Sciences, and Theology, Friedrich-Alexander-Universität Erlangen-Nürnberg, Kochstraße 6, Erlangen, 91054, Germany; Department of Palliative Medicine, University Hospital Erlangen, Friedrich-Alexander-Universität Erlangen-Nürnberg, Werner-von-Siemens-Straße 34, Erlangen, 91052, Germany; Institute for High Frequency Technology, Hamburg University of Technology, Denickestraße 22 (I), Hamburg, 21073, Germany","Ott T., Chair of Systematic Theology II (Ethics), Faculty of Humanities, Social Sciences, and Theology, Friedrich-Alexander-Universität Erlangen-Nürnberg, Kochstraße 6, Erlangen, 91054, Germany; Heckel M., Department of Palliative Medicine, University Hospital Erlangen, Friedrich-Alexander-Universität Erlangen-Nürnberg, Werner-von-Siemens-Straße 34, Erlangen, 91052, Germany; Öhl N., Department of Palliative Medicine, University Hospital Erlangen, Friedrich-Alexander-Universität Erlangen-Nürnberg, Werner-von-Siemens-Straße 34, Erlangen, 91052, Germany; Steigleder T., Department of Palliative Medicine, University Hospital Erlangen, Friedrich-Alexander-Universität Erlangen-Nürnberg, Werner-von-Siemens-Straße 34, Erlangen, 91052, Germany; Albrecht N.C., Institute for High Frequency Technology, Hamburg University of Technology, Denickestraße 22 (I), Hamburg, 21073, Germany; Ostgathe C., Department of Palliative Medicine, University Hospital Erlangen, Friedrich-Alexander-Universität Erlangen-Nürnberg, Werner-von-Siemens-Straße 34, Erlangen, 91052, Germany; Dabrock P., Chair of Systematic Theology II (Ethics), Faculty of Humanities, Social Sciences, and Theology, Friedrich-Alexander-Universität Erlangen-Nürnberg, Kochstraße 6, Erlangen, 91054, Germany","Artificial Intelligence; Ethics; Quality of life; Smart Sensor Technologies; Total Care","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85153905067"
"Vallès-Peris N.; Domènech M.","Vallès-Peris, Núria (57202077580); Domènech, Miquel (8430937200)","57202077580; 8430937200","Caring in the in-between: a proposal to introduce responsible AI and robotics to healthcare","2023","AI and Society","38","4","","1685","1695","10","2","10.1007/s00146-021-01330-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121352390&doi=10.1007%2fs00146-021-01330-w&partnerID=40&md5=fe3117e3f09dc33472dcfd349fd22f65","Barcelona Science and Technology Studies Group (STS-B), Department of Social Psychology, Universitat Autònoma de Barcelona, Barcelona, Spain","Vallès-Peris N., Barcelona Science and Technology Studies Group (STS-B), Department of Social Psychology, Universitat Autònoma de Barcelona, Barcelona, Spain; Domènech M., Barcelona Science and Technology Studies Group (STS-B), Department of Social Psychology, Universitat Autònoma de Barcelona, Barcelona, Spain","Care robots; Ethics of care; Measured action; Robot embedded in a network (REN); Science and technology studies","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85121352390"
"Orlova I.A.; Akopyan Z.A.; Plisyuk A.G.; Tarasova E.V.; Borisov E.N.; Dolgushin G.O.; Khvatova E.I.; Grigoryan M.A.; Gabbasova L.A.; Kamalov A.A.","Orlova, I.A. (57205122883); Akopyan, Zh A. (35067868800); Plisyuk, A.G. (56383826800); Tarasova, E.V. (57200683522); Borisov, E.N. (56349280300); Dolgushin, G.O. (58488390300); Khvatova, E.I. (58488511400); Grigoryan, M.A. (58488390400); Gabbasova, L.A. (57199327205); Kamalov, A.A. (6701554743)","57205122883; 35067868800; 56383826800; 57200683522; 56349280300; 58488390300; 58488511400; 58488390400; 57199327205; 6701554743","Opinion research among Russian Physicians on the application of technologies using artificial intelligence in the field of medicine and health care","2023","BMC health services research","23","1","","749","","","0","10.1186/s12913-023-09493-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164843132&doi=10.1186%2fs12913-023-09493-6&partnerID=40&md5=05b2d650610a9113f63910ae0c953bf7","Medical Research and Education Center of Lomonosov, Moscow State University, 27/10 Lomonosov Prospect, 119192, Moscow, Russian Federation; Faculty of Fundamental Medicine, Lomonosov Moscow State University, 27/1 Lomonosov Prospect, 119192, Moscow, Russian Federation","Orlova I.A., Medical Research and Education Center of Lomonosov, Moscow State University, 27/10 Lomonosov Prospect, 119192, Moscow, Russian Federation, Faculty of Fundamental Medicine, Lomonosov Moscow State University, 27/1 Lomonosov Prospect, 119192, Moscow, Russian Federation; Akopyan Z.A., Medical Research and Education Center of Lomonosov, Moscow State University, 27/10 Lomonosov Prospect, 119192, Moscow, Russian Federation, Faculty of Fundamental Medicine, Lomonosov Moscow State University, 27/1 Lomonosov Prospect, 119192, Moscow, Russian Federation; Plisyuk A.G., Medical Research and Education Center of Lomonosov, Moscow State University, 27/10 Lomonosov Prospect, 119192, Moscow, Russian Federation, Faculty of Fundamental Medicine, Lomonosov Moscow State University, 27/1 Lomonosov Prospect, 119192, Moscow, Russian Federation; Tarasova E.V., Medical Research and Education Center of Lomonosov, Moscow State University, 27/10 Lomonosov Prospect, 119192, Moscow, Russian Federation, Faculty of Fundamental Medicine, Lomonosov Moscow State University, 27/1 Lomonosov Prospect, 119192, Moscow, Russian Federation; Borisov E.N., Medical Research and Education Center of Lomonosov, Moscow State University, 27/10 Lomonosov Prospect, 119192, Moscow, Russian Federation; Dolgushin G.O., Faculty of Fundamental Medicine, Lomonosov Moscow State University, 27/1 Lomonosov Prospect, 119192, Moscow, Russian Federation; Khvatova E.I., Faculty of Fundamental Medicine, Lomonosov Moscow State University, 27/1 Lomonosov Prospect, 119192, Moscow, Russian Federation; Grigoryan M.A., Faculty of Fundamental Medicine, Lomonosov Moscow State University, 27/1 Lomonosov Prospect, 119192, Moscow, Russian Federation; Gabbasova L.A., Medical Research and Education Center of Lomonosov, Moscow State University, 27/10 Lomonosov Prospect, 119192, Moscow, Russian Federation, Faculty of Fundamental Medicine, Lomonosov Moscow State University, 27/1 Lomonosov Prospect, 119192, Moscow, Russian Federation; Kamalov A.A., Medical Research and Education Center of Lomonosov, Moscow State University, 27/10 Lomonosov Prospect, 119192, Moscow, Russian Federation, Faculty of Fundamental Medicine, Lomonosov Moscow State University, 27/1 Lomonosov Prospect, 119192, Moscow, Russian Federation","AI; Artificial intelligence; Awareness; Physicians","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85164843132"
"Valentine L.; D’Alfonso S.; Lederman R.","Valentine, Lee (57205697011); D’Alfonso, Simon (57190216694); Lederman, Reeva (7006899829)","57205697011; 57190216694; 7006899829","Recommender systems for mental health apps: advantages and ethical challenges","2023","AI and Society","38","4","","1627","1638","11","5","10.1007/s00146-021-01322-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123090528&doi=10.1007%2fs00146-021-01322-w&partnerID=40&md5=b9fdbbba210f46e96c086fd1bd7a6af5","Orygen, Parkville, 3052, VIC, Australia; Centre for Youth Mental Health, University of Melbourne, Parkville, 3010, VIC, Australia; School of Computing and Information Systems, Faculty of Engineering and Information Technology, University of Melbourne, Parkville, 3010, VIC, Australia","Valentine L., Orygen, Parkville, 3052, VIC, Australia, Centre for Youth Mental Health, University of Melbourne, Parkville, 3010, VIC, Australia; D’Alfonso S., School of Computing and Information Systems, Faculty of Engineering and Information Technology, University of Melbourne, Parkville, 3010, VIC, Australia; Lederman R., School of Computing and Information Systems, Faculty of Engineering and Information Technology, University of Melbourne, Parkville, 3010, VIC, Australia","Artificial intelligence; Digital ethics; Digital health; Digital interventions; Ethics; Mental health; Recommender systems","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85123090528"
"Zhang J.; Zhang Z.-M.","Zhang, Jie (57354281600); Zhang, Zong-ming (55770994600)","57354281600; 55770994600","Ethics and governance of trustworthy medical artificial intelligence","2023","BMC Medical Informatics and Decision Making","23","1","7","","","","5","10.1186/s12911-023-02103-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146278182&doi=10.1186%2fs12911-023-02103-9&partnerID=40&md5=0ab4729ed84e430bdec9d013c5f6179d","Institute of Literature in Chinese Medicine, Nanjing University of Chinese Medicine, Nanjing, 210023, China; Nantong University Xinglin College, Nantong, 226236, China; Research Center of Chinese Medicine Culture, Nanjing University of Chinese Medicine, Nanjing, 210023, China","Zhang J., Institute of Literature in Chinese Medicine, Nanjing University of Chinese Medicine, Nanjing, 210023, China, Nantong University Xinglin College, Nantong, 226236, China; Zhang Z.-M., Research Center of Chinese Medicine Culture, Nanjing University of Chinese Medicine, Nanjing, 210023, China","Algorithms; Artificial intelligence; Data; Ethics; Governance; Healthcare; Regulation; Responsibility attribution","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85146278182"
"Suhag A.; Kidd J.; McGath M.; Rajesh R.; Gelfinbein J.; Cacace N.; Monteleone B.; Chavez M.R.","Suhag, Anju (34873652000); Kidd, Jennifer (57701180800); McGath, Meghan (58315683500); Rajesh, Raeshmma (58315925800); Gelfinbein, Joseph (58315925900); Cacace, Nicole (58314936200); Monteleone, Berrin (56487764800); Chavez, Martin R. (7103119117)","34873652000; 57701180800; 58315683500; 58315925800; 58315925900; 58314936200; 56487764800; 7103119117","ChatGPT: a pioneering approach to complex prenatal differential diagnosis","2023","American Journal of Obstetrics and Gynecology MFM","5","8","101029","","","","0","10.1016/j.ajogmf.2023.101029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162070624&doi=10.1016%2fj.ajogmf.2023.101029&partnerID=40&md5=dd71567de8b2acebbbf26d3aa8c34664","Division of Maternal-Fetal Medicine, Department of Obstetrics and Gynecology, NYU Langone Health, NYU Langone Hospital-Long Island, NYU Long Island School of Medicine, Mineola, NY (Drs Suhag and Kidd, Mses McGath and Cacace, and Dr Chavez), United States; Department of Clinical Genetics, NYU Langone Hospital-Long Island, Mineola, NY (Mses McGath and Cacace, and Dr Monteleone), United States; Department of Obstetrics and Gynecology, Richmond University Medical Center, Staten Island, NY (Dr Rajesh), United States; NYU Long Island School of Medicine, Mineola, NY (Mr Gelfinbein), United States","Suhag A., Division of Maternal-Fetal Medicine, Department of Obstetrics and Gynecology, NYU Langone Health, NYU Langone Hospital-Long Island, NYU Long Island School of Medicine, Mineola, NY (Drs Suhag and Kidd, Mses McGath and Cacace, and Dr Chavez), United States; Kidd J., Division of Maternal-Fetal Medicine, Department of Obstetrics and Gynecology, NYU Langone Health, NYU Langone Hospital-Long Island, NYU Long Island School of Medicine, Mineola, NY (Drs Suhag and Kidd, Mses McGath and Cacace, and Dr Chavez), United States; McGath M., Division of Maternal-Fetal Medicine, Department of Obstetrics and Gynecology, NYU Langone Health, NYU Langone Hospital-Long Island, NYU Long Island School of Medicine, Mineola, NY (Drs Suhag and Kidd, Mses McGath and Cacace, and Dr Chavez), United States, Department of Clinical Genetics, NYU Langone Hospital-Long Island, Mineola, NY (Mses McGath and Cacace, and Dr Monteleone), United States; Rajesh R., Department of Obstetrics and Gynecology, Richmond University Medical Center, Staten Island, NY (Dr Rajesh), United States; Gelfinbein J., NYU Long Island School of Medicine, Mineola, NY (Mr Gelfinbein), United States; Cacace N., Division of Maternal-Fetal Medicine, Department of Obstetrics and Gynecology, NYU Langone Health, NYU Langone Hospital-Long Island, NYU Long Island School of Medicine, Mineola, NY (Drs Suhag and Kidd, Mses McGath and Cacace, and Dr Chavez), United States, Department of Clinical Genetics, NYU Langone Hospital-Long Island, Mineola, NY (Mses McGath and Cacace, and Dr Monteleone), United States; Monteleone B., Department of Clinical Genetics, NYU Langone Hospital-Long Island, Mineola, NY (Mses McGath and Cacace, and Dr Monteleone), United States; Chavez M.R., Division of Maternal-Fetal Medicine, Department of Obstetrics and Gynecology, NYU Langone Health, NYU Langone Hospital-Long Island, NYU Long Island School of Medicine, Mineola, NY (Drs Suhag and Kidd, Mses McGath and Cacace, and Dr Chavez), United States","artificial intelligence; ChatGPT-4; complex prenatal disorders; generative pre-trained transformer language model; human phenotype ontology; neonatal genetic disorders; online mendelian inheritance in man; prenatal diagnosis","Article","Final","","Scopus","2-s2.0-85162070624"
